index,Signal0,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,Signal44,Signal45,Signal46,Signal47,Signal48,Signal49,Signal50,Signal51,Signal52,Signal53,Signal54,Signal55,Signal56,Signal57,Signal58,Signal59,X,Y
207,28,28,28,28,28,28,28,28,28,28,28,27,26,26,26,26,26,26,26,26,36,36,36,36,36,36,36,36,36,36,36,34,33,33,33,33,33,33,33,34,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,0,-1
208,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,36,36,36,37,37,37,37,37,36,36,36,36,36,36,36,36,36,36,36,36,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,-1
209,28,28,28,27,26,26,26,26,26,26,26,26,27,28,28,28,28,28,28,28,36,36,36,34,33,33,33,33,33,33,33,34,36,36,36,37,37,37,37,37,22,22,22,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,0,-1
210,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,26,26,26,26,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,34,33,33,33,33,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,0,-1
211,26,26,26,26,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,33,33,33,33,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,-1
212,28,28,28,28,28,28,28,27,26,26,26,26,26,26,26,26,27,28,28,28,36,36,36,36,36,36,36,34,33,33,33,33,33,33,33,33,35,36,36,37,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,22,22,22,22,0,-1
213,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,37,37,37,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,34,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,0,-1
214,26,26,26,26,26,26,26,26,27,27,28,28,28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,35,36,36,36,36,36,36,36,37,36,36,36,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,0,-1
215,28,28,28,28,28,28,28,28,28,28,28,27,26,26,26,26,26,26,26,26,36,36,36,36,36,36,36,36,36,36,36,34,33,33,33,33,33,33,33,33,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,0,-1
216,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,35,36,36,37,37,37,37,36,36,36,36,36,36,36,36,36,36,36,36,36,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,-1
217,28,28,28,27,26,26,26,26,26,26,26,26,27,27,28,28,28,28,28,28,36,36,36,34,33,33,33,33,33,33,33,33,35,36,36,36,37,37,37,37,22,22,22,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,0,-1
218,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,26,26,26,26,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,34,33,33,33,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,0,-1
219,26,26,26,26,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,33,33,33,33,35,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,-1
220,28,28,28,28,28,28,28,27,26,26,26,26,26,26,26,26,27,27,28,28,36,36,36,36,36,36,36,35,33,33,33,33,33,33,33,33,35,36,36,36,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,22,22,22,0,-1
221,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,0,-1
222,26,26,26,26,26,26,26,26,26,27,28,28,28,28,28,28,28,28,28,28,34,33,33,33,33,33,33,33,35,36,36,36,37,37,37,37,37,36,36,36,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,0,-1
223,28,28,28,28,28,28,28,28,28,28,28,28,26,26,26,26,26,26,26,26,36,36,36,36,36,36,36,36,36,36,36,36,34,33,33,33,33,33,33,33,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,0,-1
